<<<<<<< HEAD
id: 454083262670675230, distance: 0.8467065095901489, entity: {'Metaphone_Name': 'AKLNTTJ', 'Title_Code': 'PONTAM00205', 'Title_Name': 'AKHILA INDIA IDHAZH'}
id: 454083262670662674, distance: 0.86993807554245, entity: {'Metaphone_Name': 'JNJKRNNTLN', 'Title_Code': 'DELHIN07792', 'Title_Name': 'JAN JAGRAN AANDOLAN'}
id: 454083262670675617, distance: 0.8732016682624817, entity: {'Metaphone_Name': 'ANTNPRJMKSN', 'Title_Code': 'TNENG00639', 'Title_Name': 'INDIAN BRIDGE MAGAZINE'}
id: 454083262670674521, distance: 0.8884744644165039, entity: {'Metaphone_Name': 'ANTNJRNLSTSKT', 'Title_Code': 'MAHENG01804', 'Title_Name': 'INDIAN JOURNALISTS GUIDE'}
id: 454083262670671215, distance: 0.8965613842010498, entity: {'Metaphone_Name': 'AKRKLTRLNJNRNKTT', 'Title_Code': 'DELENG00132', 'Title_Name': 'AGRICULTURAL ENGINEERING TODAY'}
id: 454083262670662737, distance: 0.8982279300689697, entity: {'Metaphone_Name': 'AKJJKRN', 'Title_Code': 'PUNPUN04291', 'Title_Name': 'AAGAJ JAGRAN'}
id: 454083262670673557, distance: 0.9141069650650024, entity: {'Metaphone_Name': 'ANTNJRNLFSKLMNJMNT', 'Title_Code': 'DELENG02857', 'Title_Name': 'INDIAN JOURNAL OF SCHOOL MANAGEMENT'}
id: 454083262670676043, distance: 0.9168736934661865, entity: {'Metaphone_Name': 'ANTNJJMNTRPRTR', 'Title_Code': 'UPENG00536', 'Title_Name': 'INDIAN JUDGEMENT REPORTER'}
id: 454083262670662774, distance: 0.9389809370040894, entity: {'Metaphone_Name': 'JNXKTJKRN', 'Title_Code': 'UPHIN41953', 'Title_Name': 'JAN SHAKTI JAGRAN'}
id: 454083262670662842, distance: 0.9471560716629028, entity: {'Metaphone_Name': 'JKRNJT', 'Title_Code': 'UTTHIN02793', 'Title_Name': 'JAGRAN JYOTI'}
id: 454083262670672445, distance: 0.9509354829788208, entity: {'Metaphone_Name': 'JKRKTT', 'Title_Code': 'RAJHIN27275', 'Title_Name': 'JAGRUK TODAY'}
id: 454083262670675111, distance: 0.9576810002326965, entity: {'Metaphone_Name': 'JKTNT', 'Title_Code': 'MPHIN28622', 'Title_Name': 'JAGATA INDIA'}
id: 454083262670676357, distance: 0.9598954319953918, entity: {'Metaphone_Name': 'ANTNJHTRLJ', 'Title_Code': 'WBENG00867', 'Title_Name': 'INDIAN GEOHYDROLOGY'}
id: 454083262670662787, distance: 0.960757315158844, entity: {'Metaphone_Name': 'JKTRHKJKRN', 'Title_Code': 'UPHIN20717', 'Title_Name': 'JAGTA RAHEGA JAGRAN'}
id: 454083262670662843, distance: 0.9678146839141846, entity: {'Metaphone_Name': 'JNXTNJKRN', 'Title_Code': 'UTTHIN05350', 'Title_Name': 'JAN CHETNA JAGRAN'}
id: 454083262670673771, distance: 0.968981146812439, entity: {'Metaphone_Name': 'ANTNJRNLFRMTLJ', 'Title_Code': 'DELENG15405', 'Title_Name': 'INDIAN JOURNAL OF RHEUMATOLOGY'}
id: 454083262670674293, distance: 0.9691044092178345, entity: {'Metaphone_Name': 'ANTNJ', 'Title_Code': 'KARENG04526', 'Title_Name': 'INDIAN AGE'}
id: 454083262670674167, distance: 0.9691044092178345, entity: {'Metaphone_Name': 'ANTNJ', 'Title_Code': 'GUJENG00660', 'Title_Name': 'INDIAN AGE'}
id: 454083262670675555, distance: 0.9691044092178345, entity: {'Metaphone_Name': 'ANTNJ', 'Title_Code': 'TNENG05054', 'Title_Name': 'INDIAN AGE'}
id: 454083262670676327, distance: 0.9691044092178345, entity: {'Metaphone_Name': 'ANTNJ', 'Title_Code': 'WBHIN01600', 'Title_Name': 'INDIAN AGE'}
id: 454083262670676601, distance: 0.972327470779419, entity: {'Metaphone_Name': 'JNSKTKT', 'Title_Code': 'CHHHIN02861', 'Title_Name': 'JAN AWAZ KI TAKAT'}
id: 454083262670671213, distance: 0.9738991260528564, entity: {'Metaphone_Name': 'AKRKJTT', 'Title_Code': 'DELHIN27680', 'Title_Name': 'AGRA KHOJ TODAY'}
id: 454083262670662781, distance: 0.9746519923210144, entity: {'Metaphone_Name': 'JLNJKRN', 'Title_Code': 'UPHIN04961', 'Title_Name': 'JALAUN JAGRAN'}
id: 454083262670674422, distance: 0.9746675491333008, entity: {'Metaphone_Name': 'ANKLNTNJRNL', 'Title_Code': 'KERBIL01927', 'Title_Name': 'ANGLO INDIAN JAURNAL'}
id: 454083262670674966, distance: 0.9798399209976196, entity: {'Metaphone_Name': 'ANTNJRNLFTRNSPRTMNJMNT', 'Title_Code': 'MAHENG07244', 'Title_Name': 'INDIAN JOURNAL OF TRANSPORT MANAGEMENT'}
id: 454083262670665824, distance: 0.9799439907073975, entity: {'Metaphone_Name': 'AKNMKTMSNL', 'Title_Code': 'MAHENG01124', 'Title_Name': 'ECONOMIC TIMES ANNUAL'}
id: 454083262670674702, distance: 0.9803860187530518, entity: {'Metaphone_Name': 'ANTNMNJMNT', 'Title_Code': 'MAHENG08262', 'Title_Name': 'INDIAN MANAGEMENT'}
id: 454083262670673721, distance: 0.9803860187530518, entity: {'Metaphone_Name': 'ANTNMNJMNT', 'Title_Code': 'DELENG07242', 'Title_Name': 'INDIAN MANAGEMENT'}
id: 454083262670676169, distance: 0.9804545044898987, entity: {'Metaphone_Name': 'ANTNJRNLFTLJ', 'Title_Code': 'UPENG02072', 'Title_Name': 'INDIAN JOURNAL OF OTOLOGY'}
id: 454083262670675522, distance: 0.9824574589729309, entity: {'Metaphone_Name': 'ANKLNTN', 'Title_Code': 'TNENG01960', 'Title_Name': 'ANGLO INDIAN'}
id: 454083262670671270, distance: 0.9824705123901367, entity: {'Metaphone_Name': 'JKRKTTT', 'Title_Code': 'DELHIN16340', 'Title_Name': 'JAGRUKTA TODAY'}
id: 454083262670673153, distance: 0.9849919080734253, entity: {'Metaphone_Name': 'ANTNJRNLFTRSNS', 'Title_Code': 'DELENG14439', 'Title_Name': 'INDIAN JOURNAL OF DAIRY SCIENCE'}
id: 454083262670662704, distance: 0.9855140447616577, entity: {'Metaphone_Name': 'AKPRPTJKRN', 'Title_Code': 'MAHHIN09384', 'Title_Name': 'YUG PRABHAT JAGRAN'}
id: 454083262670673716, distance: 0.9913410544395447, entity: {'Metaphone_Name': 'AKNMNT', 'Title_Code': 'DELHIN12879', 'Title_Name': 'ECONOMY INDIA'}
id: 454083262670673603, distance: 0.9913410544395447, entity: {'Metaphone_Name': 'AKNMNT', 'Title_Code': 'DELENG15314', 'Title_Name': 'ECONOMY INDIA'}
id: 454083262670672990, distance: 0.9917973875999451, entity: {'Metaphone_Name': 'ANTNJRNLST', 'Title_Code': 'APTEL14513', 'Title_Name': 'INDIAN JOURNALIST'}
